	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000060404	0	2.025	4.04	2.91	2.033	2.03	NA	NA
ENSMUSG00000060407	21	7	6	35	1	89.472	cytochrome P450, family 2, subfamily a, polypeptide 12	Cyp2a12
ENSMUSG00000060412	0	0	0	0	0	0	taste receptor, type 2, member 124	Tas2r124
ENSMUSG00000060427	366.897	355.212	647.257	397.195	558.435	471.768	zinc finger protein 868	Zfp868
ENSMUSG00000060429	218.117	142.859	121.096	145.547	193.054	423.182	syntrophin, basic 1	Sntb1
ENSMUSG00000060441	36.624	17.181	31.298	30.626	34.495	48.081	tripartite motif-containing 5	Trim5
ENSMUSG00000060445	22	26	17	18	36	18	synaptonemal complex protein 2	Sycp2
ENSMUSG00000060450	3165	2971	4660.001	3076	4633.001	4885	ring finger protein 14	Rnf14
ENSMUSG00000060459	755.261	445.914	448.57	792.191	113.195	2777.714	kininogen 2	Kng2
ENSMUSG00000060461	4	5	12.217	9.262	9.405	9.327	developmental pluripotency associated 5A	Dppa5a
ENSMUSG00000060469	0	0	0	0	0	0	keratin associated protein 19-3	Krtap19-3
ENSMUSG00000060470	710.004	307.752	562.057	530.995	1353.628	589.003	adhesion G protein-coupled receptor G3	Adgrg3
ENSMUSG00000060475	1396.338	1570.847	2132.081	1769.562	2073.807	2304.551	Wilms tumour 1-associating protein	Wtap
ENSMUSG00000060477	1390	1081.483	1660.176	1253.876	1639.501	1883.862	interleukin-1 receptor-associated kinase 2	Irak2
ENSMUSG00000060480	0	0	0	0	0	0	olfactory receptor 171	Olfr171
ENSMUSG00000060487	84.962	74.224	115.37	114.055	279.376	201.179	sterile alpha motif domain containing 5	Samd5
ENSMUSG00000060491	1	0	0	0	0	0	RIKEN cDNA 4930522H14 gene	4930522H14Rik
ENSMUSG00000060499	13	11.897	9	11	28	21	ribosomal protein L10-like	Rpl10l
ENSMUSG00000060503	1.139	2.027	3.856	2.707	2.123	2.958	olfactory receptor 715	Olfr715
ENSMUSG00000060508	0	0	0	1	0	0	NLR family, pyrin domain containing 9B	Nlrp9b
ENSMUSG00000060509	3.825	3.234	4.115	3.431	5.897	5.175	chemokine (C motif) receptor 1	Xcr1
ENSMUSG00000060510	250	155	261	257	335	402	zinc finger protein 266	Zfp266
ENSMUSG00000060512	52	66	47	106	13	215	RIKEN cDNA 0610040J01 gene	0610040J01Rik
ENSMUSG00000060519	336	196	566	368	519.999	380	torsin family 3, member A	Tor3a
ENSMUSG00000060523	0	0	0	1	0	0	olfactory receptor 726	Olfr726
ENSMUSG00000060534	0	4.018	0	0	1	1	deleted in colorectal carcinoma	Dcc
ENSMUSG00000060538	182	213	299.023	236.999	226.032	331.001	transmembrane protein 219	Tmem219
ENSMUSG00000060548	77.999	25	72	130	60	158.999	tumor necrosis factor receptor superfamily, member 19	Tnfrsf19
ENSMUSG00000060550	652.429	341.929	984.806	598.011	1377.181	864.274	histocompatibility 2, Q region locus 7	H2-Q7
ENSMUSG00000060556	0	0	0	0	0	0	olfactory receptor 1418	Olfr1418
ENSMUSG00000060560	0	0	0	0	0	0	carboxylesterase 4A	Ces4a
ENSMUSG00000060565	0	0	0	0	0	0	predicted gene 5591	Gm5591
ENSMUSG00000060568	1121	1126.999	2075.001	1173	2176.002	1335	family with sequence similarity 78, member B	Fam78b
ENSMUSG00000060572	126	110	88	330	78	344	microfibrillar-associated protein 2	Mfap2
ENSMUSG00000060579	42	65.999	51	54	43	95	fragile histidine triad gene	Fhit
ENSMUSG00000060583	0	0	1	0	0	0	olfactory receptor 881	Olfr881
ENSMUSG00000060586	83	135	115	85.001	132	111	histocompatibility 2, class II antigen E beta	H2-Eb1
ENSMUSG00000060591	324.84	500.845	552.326	471.304	419.988	548.442	interferon induced transmembrane protein 2	Ifitm2
ENSMUSG00000060594	39	44	77	32	74	56	layilin	Layn
ENSMUSG00000060600	73	74.001	136	79.999	90.999	121	enolase 3, beta muscle	Eno3
ENSMUSG00000060601	903.001	923.999	1460.001	935.999	1645.001	1236.001	nuclear receptor subfamily 1, group H, member 2	Nr1h2
ENSMUSG00000060613	26	10	5	2	3	57	cytochrome P450, family 2, subfamily c, polypeptide 70	Cyp2c70
ENSMUSG00000060615	5	16	20	16	9	2.805	angiogenin, ribonuclease A family, member 4	Ang4
ENSMUSG00000060621	5	1	2	0	6	0	NTPase, KAP family P-loop domain containing 1	Nkpd1
ENSMUSG00000060630	1	0	0	0	0	0	zinc finger protein 735	Zfp735
ENSMUSG00000060636	869.288	1781.971	2389.895	2411.143	1856.489	1992.629	ribosomal protein L35A	Rpl35a
ENSMUSG00000060639	88.206	124.15	185.713	132.895	197.33	231.796	H4 clustered histone 9	H4c9
ENSMUSG00000060657	1026.884	657.268	1133.085	961.816	1694.684	1467.763	meiosis regulator and mRNA stability 1	Marf1
ENSMUSG00000060663	0	0	0	0	0	0	olfactory receptor 175	Olfr175
ENSMUSG00000060671	2215.001	1320	3006	2337	5130	3819	ATPase, class I, type 8B, member 2	Atp8b2
ENSMUSG00000060673	0	0	0	0	0	0	RIKEN cDNA 4930595M18 gene	4930595M18Rik
ENSMUSG00000060675	271.999	403	411	379.999	339.999	353	phospholipase A and acyltransferase 3	Plaat3
ENSMUSG00000060678	9.941	12.19	21.212	13.444	22.166	37.395	H4 clustered histone 3	H4c3
ENSMUSG00000060679	437.999	682	743.001	574.999	736	824.001	mitochondrial ribosomal protein S9	Mrps9
ENSMUSG00000060681	1430	666.999	1521	1330	1586.001	2685	solute carrier family 9 (sodium/hydrogen exchanger), member 6	Slc9a6
ENSMUSG00000060685	0.997	0	0	0	0	0	ferritin, heavy polypeptide-like 17, member C	Fthl17c
ENSMUSG00000060688	0	0	0	0	0	0	olfactory receptor 292	Olfr292
ENSMUSG00000060691	0	0	0	0	0	0	keratin associated protein 19-1	Krtap19-1
ENSMUSG00000060699	0	0	0	0	0	0	vomeronasal 1 receptor 35	Vmn1r35
ENSMUSG00000060701	0	0	0	0	0	0	formyl peptide receptor, related sequence 3	Fpr-rs3
ENSMUSG00000060703	76	52	117	112	75	134	CD302 antigen	Cd302
ENSMUSG00000060708	377	439	692	466	628	644	biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino	Bloc1s4
ENSMUSG00000060715	0	0	0	0	0	0	RIKEN cDNA 1700019A02 gene	1700019A02Rik
ENSMUSG00000060716	3781.493	2558.001	3906.953	2719.996	4995.399	4967.015	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1	Plekhh1
ENSMUSG00000060724	0	2.077	3.985	0	1.039	5.292	vomeronasal 1 receptor 47	Vmn1r47
ENSMUSG00000060726	6	18	15	35	11	13	thymosin beta 15a	Tmsb15a
ENSMUSG00000060733	1335.433	954.001	1466	1508	2201	2664	inositol polyphosphate multikinase	Ipmk
ENSMUSG00000060735	0	0	1	0	0	0	relaxin family peptide receptor 3	Rxfp3
ENSMUSG00000060738	479	407	1227.623	404	651.798	379.88	prolactin family 7, subfamily c, member 1	Prl7c1
ENSMUSG00000060739	2138.909	2562.439	4074.296	2552.837	3376.177	3441.472	NSA2 ribosome biogenesis homolog	Nsa2
ENSMUSG00000060742	0	0	0	0	0	0	olfactory receptor 1076	Olfr1076
ENSMUSG00000060743	3756.972	6348.255	6750.303	5986.124	5556.26	7051.745	H3.3 histone A	H3f3a
ENSMUSG00000060747	0	0	0	0	0	0	interferon lambda 3	Ifnl3
ENSMUSG00000060756	0	0	0	0	0	0	keratin associated protein 2-4	Krtap2-4
ENSMUSG00000060759	0	0	0	0	0	0	olfactory receptor 503	Olfr503
ENSMUSG00000060765	0	0	0	0	0	0	olfactory receptor 325	Olfr325
ENSMUSG00000060771	245.999	161	276.999	210	295	343	testis specific 10	Tsga10
ENSMUSG00000060780	0	1	0	15	1	14	leucine rich repeat transmembrane neuronal 1	Lrrtm1
ENSMUSG00000060787	0	0	0	0	0	0	olfactory receptor 464	Olfr464
ENSMUSG00000060791	153.999	171	249.001	164.999	138.001	195	glia maturation factor, gamma	Gmfg
ENSMUSG00000060794	0	0	0	0	0	0	testis-specific serine kinase 5	Tssk5
ENSMUSG00000060798	83.36	89.971	128.614	78.688	130.487	172.057	inturned planar cell polarity protein	Intu
ENSMUSG00000060802	11055	9492	17834	11529	16757	16787	beta-2 microglobulin	B2m
ENSMUSG00000060803	860.68	1252.983	1156.235	1208.678	982.694	1796.316	glutathione S-transferase, pi 1	Gstp1
ENSMUSG00000060807	109	13	6	20	17	135	serine (or cysteine) peptidase inhibitor, clade A, member 6	Serpina6
ENSMUSG00000060816	0	0	0	0	0	0	vomeronasal 1 receptor 52	Vmn1r52
ENSMUSG00000060827	0	0	0	0	0	0	olfactory receptor 1193	Olfr1193
ENSMUSG00000060843	0	0	1.989	1.001	4.972	1	catenin (cadherin associated protein), alpha 3	Ctnna3
ENSMUSG00000060860	1613.002	2282	2716.081	2227.365	2629.222	2686.835	ubiquitin-conjugating enzyme E2S	Ube2s
ENSMUSG00000060862	177	89	157	124	271	285	zinc finger and BTB domain containing 40	Zbtb40
ENSMUSG00000060863	0	0	6	3.867	10	1	T cell leukemia/lymphoma 1B, 2	Tcl1b2
ENSMUSG00000060878	0	0	0	0	0	0	olfactory receptor 1420	Olfr1420
ENSMUSG00000060882	5	3	5	2	8	4	potassium voltage-gated channel, Shal-related family, member 2	Kcnd2
ENSMUSG00000060888	0	0	0	0.948	0	0.972	olfactory receptor 566	Olfr566
ENSMUSG00000060890	0	0	0	0	0	0	arrestin 3, retinal	Arr3
ENSMUSG00000060904	3495	3721	5355	3979	4788	5111	ADP-ribosylation factor-like 1	Arl1
ENSMUSG00000060913	20	18	24	11	38	32	tripartite motif-containing 55	Trim55
ENSMUSG00000060918	2.011	0	0	0	0	0	olfactory receptor 51	Olfr51
ENSMUSG00000060923	32	49	47	27	71	61	acylphosphatase 2, muscle type	Acyp2
ENSMUSG00000060924	3.001	2	7	1	5.537	4.002	CUB and Sushi multiple domains 1	Csmd1
ENSMUSG00000060935	1711.913	1203.305	2431.193	1694.354	2456.047	2454.515	transmembrane protein 263	Tmem263
ENSMUSG00000060938	3015.806	5980.797	6182.265	6112.809	4915.56	5586.938	ribosomal protein L26	Rpl26
ENSMUSG00000060950	154.894	184.351	209.227	186.661	249.557	232.836	tRNA methyltransferase 61A	Trmt61a
ENSMUSG00000060961	427	126.138	310	203	210	695.183	solute carrier family 4 (anion exchanger), member 4	Slc4a4
ENSMUSG00000060962	1398	1942.001	2681	2660.001	3440	3211.001	dermokine	Dmkn
ENSMUSG00000060967	36	63	64	46	26	53	embryonic testis differentiation	Etd
ENSMUSG00000060969	19	18	26	16	53	15	Iroquois homeobox 1	Irx1
ENSMUSG00000060974	0	0	0	0	0	0	olfactory receptor 530	Olfr530
ENSMUSG00000060981	13.24	14.619	27.357	22.512	22.551	17.314	H4 clustered histone 8	H4c8
ENSMUSG00000060985	42	25.001	47	31	19	71	tudor domain containing 5	Tdrd5
ENSMUSG00000060988	0	0	2.046	0	0	7.984	polypeptide N-acetylgalactosaminyltransferase 13	Galnt13
ENSMUSG00000060992	2188	2630	3343	2432.999	3271	3387	coatomer protein complex, subunit zeta 1	Copz1
ENSMUSG00000061000	0	0	0	0	0	0	olfactory receptor 507	Olfr507
ENSMUSG00000061013	34	26	20	15	46.693	24.714	mohawk homeobox	Mkx
ENSMUSG00000061022	0	0	0	0	0	0	vomeronasal 1 receptor 222	Vmn1r222
ENSMUSG00000061024	343	395	555.932	447	640	595	ribosome biogenesis regulator 1	Rrs1
ENSMUSG00000061028	237	292	422.999	292	459	387.001	CLK4-associating serine/arginine rich protein	Clasrp
ENSMUSG00000061032	1814	1910.999	2374	1612.999	2205.999	2394.001	ribosomal RNA processing 1	Rrp1
ENSMUSG00000061039	15.291	0	19.56	2.255	5.41	7.945	olfactory receptor 920	Olfr920
ENSMUSG00000061046	109	137	168.001	148	149	184	hydroxyacylglutathione hydrolase-like	Haghl
ENSMUSG00000061048	6128	2297	6571	5094	10623	7104	cadherin 3	Cdh3
ENSMUSG00000061065	0	0	0	0	0	0	H2A histone family member L1O	H2al1o
ENSMUSG00000061068	1	0	0	0	0	5	mast cell protease 4	Mcpt4
ENSMUSG00000061079	240	294	354	274	363.001	348.999	zinc finger protein 143	Zfp143
ENSMUSG00000061080	0	1	2	1	0	2	limbic system-associated membrane protein	Lsamp
ENSMUSG00000061082	1214	1494	2413	1826	2500	1460	placental specific protein 1	Plac1
ENSMUSG00000061086	639.999	1016	1064	1014	1024.001	949.076	myosin, light polypeptide 4	Myl4
ENSMUSG00000061099	5	3	6	4	8	1	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	Gapdhs
ENSMUSG00000061100	0	2	11	10	17	5	resistin like alpha	Retnla
ENSMUSG00000061104	58.509	73.518	120.139	57.924	107.559	85.602	Sin3-associated polypeptide 18B	Sap18b
ENSMUSG00000061111	1241	1621	2014	1625	1935	1885	MAPK regulated corepressor interacting protein 1	Mcrip1
ENSMUSG00000061118	277	301	431	296	408	377	DnaJ heat shock protein family (Hsp40) member C30	Dnajc30
ENSMUSG00000061119	1254.998	670.154	1477.031	1040.811	1809.812	1382.193	prolylcarboxypeptidase (angiotensinase C)	Prcp
ENSMUSG00000061126	0	0	2	2	3	8.001	cytochrome P450, family 4, subfamily f, polypeptide 39	Cyp4f39
ENSMUSG00000061130	1435.999	1008.001	1681	1417.001	2318.674	2149.99	protein phosphatase 1B, magnesium dependent, beta isoform	Ppm1b
ENSMUSG00000061132	72.022	38	75	55	66.009	74.024	B cell linker	Blnk
ENSMUSG00000061136	1823	1656	2503.999	1700	2861	2799	pre-mRNA processing factor 40A	Prpf40a
ENSMUSG00000061143	1260.245	515	1216.829	785	1849.07	1365.419	mastermind like transcriptional coactivator 3	Maml3
ENSMUSG00000061144	0	1	1	0	0	3	serine peptidase inhibitor, Kazal type 12	Spink12
ENSMUSG00000061165	0	4.001	2	1.008	2	3.001	olfactory receptor 160	Olfr160
ENSMUSG00000061171	1	0	1	1.772	1.014	4	solute carrier family 38, member 11	Slc38a11
ENSMUSG00000061175	1137.003	531.113	1254.95	1063.754	2030.415	2429.661	folliculin interacting protein 2	Fnip2
ENSMUSG00000061184	0	1	0	1	1	1	transmembrane protease, serine 11c	Tmprss11c
ENSMUSG00000061186	3367.999	1662	3534	2208	4696	3238.999	Scm-like with four mbt domains 2	Sfmbt2
ENSMUSG00000061195	0	0	0	0	0	0	olfactory receptor 1289	Olfr1289
ENSMUSG00000061207	281.032	271.228	517.763	307.18	437.808	324.898	serine/threonine kinase 19	Stk19
ENSMUSG00000061208	0	0	0	0	0	0	vomeronasal 1 receptor 8	Vmn1r8
ENSMUSG00000061210	0	0	0	0	0	0	olfactory receptor 47	Olfr47
ENSMUSG00000061232	10822.795	5898.234	17429.321	8892.291	19017.486	13435.261	histocompatibility 2, K1, K region	H2-K1
ENSMUSG00000061244	1335.785	1483.99	2022.01	1480.134	2162.853	2262.067	exocyst complex component 5	Exoc5
ENSMUSG00000061259	1.002	3.019	2.004	2.001	6.026	2.133	transmembrane protease, serine 11d	Tmprss11d
ENSMUSG00000061273	572	448	784.376	577	934.96	893.997	membrane magnesium transporter 1	Mmgt1
ENSMUSG00000061286	308.003	391.3	536.41	407.425	568.001	437.695	exosome component 5	Exosc5
ENSMUSG00000061288	400.182	364.361	599.743	423.745	575.829	890.848	TAO kinase 3	Taok3
ENSMUSG00000061292	2	0	0	3	0	8	cytochrome P450, family 3, subfamily a, polypeptide 59	Cyp3a59
ENSMUSG00000061295	0	0	0	0	0	0	olfactory receptor 1261	Olfr1261
ENSMUSG00000061296	1	0	1.098	0	3.132	0	vomeronasal 1 receptor 210	Vmn1r210
ENSMUSG00000061298	3	3	4	2	2	2	ATP/GTP binding protein-like 4	Agbl4
ENSMUSG00000061306	2520.001	1513.001	3056.001	2144.998	4189	3563	solute carrier family 38, member 10	Slc38a10
ENSMUSG00000061311	1	0	0	0	0	0	recombination activating 1	Rag1
ENSMUSG00000061313	816.906	518.197	902.81	703.958	1376.298	1067.61	DDHD domain containing 2	Ddhd2
ENSMUSG00000061315	4961.483	8162.535	8636.357	7921.684	6927.077	8588.414	nascent polypeptide-associated complex alpha polypeptide	Naca
ENSMUSG00000061322	50	42	42.999	26	61.001	56	dynein axonemal intermediate chain 1	Dnai1
ENSMUSG00000061336	0	0	0.991	0	1.003	0	olfactory receptor 116	Olfr116
ENSMUSG00000061342	0	0	0	0	0	0	olfactory receptor 1168	Olfr1168
ENSMUSG00000061353	2480	1366.001	3292.001	1549	2534	2578.999	chemokine (C-X-C motif) ligand 12	Cxcl12
ENSMUSG00000061356	82	67	99	55	79	82	nuclear GTPase, germinal center associated	Nuggc
ENSMUSG00000061360	641	847	1128	906	1020	1159	PHD finger protein 5A	Phf5a
ENSMUSG00000061361	0	0	0	0	0	0	olfactory receptor 168	Olfr168
ENSMUSG00000061367	0	0	0	0	0	0	olfactory receptor 771	Olfr771
ENSMUSG00000061371	38.992	54.47	84.192	73.909	66.59	108.186	zinc finger protein 873	Zfp873
ENSMUSG00000061374	476	427	549	444.923	701.001	716.001	Flt3 interacting zinc finger protein 1	Fiz1
ENSMUSG00000061376	0	0	0	0	0	0	vomeronasal 1 receptor 219	Vmn1r219
ENSMUSG00000061387	0	0	2.001	0	0	0	olfactory receptor 1490	Olfr1490
ENSMUSG00000061388	0	0	0	0	0	0	casein alpha s2-like B	Csn1s2b
ENSMUSG00000061392	0	0	0	0	0	0	MAGE family member B5	Mageb5
ENSMUSG00000061393	538	316	562	474.999	1003	737	activin receptor IIB	Acvr2b
ENSMUSG00000061397	19	16	26	15	22	12	keratin 79	Krt79
ENSMUSG00000061410	1076	472	1008.999	1043	1851	1715	zinc finger, CCHC domain containing 14	Zcchc14
ENSMUSG00000061411	229.116	156.742	164.35	288.774	137.959	800.419	nucleolar protein 4-like	Nol4l
ENSMUSG00000061414	5.035	3.023	4.026	5.455	14.136	10.73	calcium release activated channel regulator 2A	Cracr2a
ENSMUSG00000061436	92	48	88	88	129	138	homeodomain interacting protein kinase 2	Hipk2
ENSMUSG00000061451	32	25	27	39	52	63	transmembrane protein 151A	Tmem151a
ENSMUSG00000061455	365	398	499	426	619	598.001	syntaxin 17	Stx17
ENSMUSG00000061457	0	0	0	0	0	0	olfactory receptor 871	Olfr871
ENSMUSG00000061458	433.66	477.675	563.862	432.403	716.765	616.186	nucleolar protein 10	Nol10
ENSMUSG00000061461	319	460	592	508	517	601	small integral membrane protein 20	Smim20
ENSMUSG00000061462	5.999	9	9	6	2	3	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Obscn
ENSMUSG00000061469	73	44	63	48	82	87	Myb/SANT DNA binding domain containing 5	Msantd5
ENSMUSG00000061474	381.571	517.543	530.97	402.069	477.847	518.78	mitochondrial ribosomal protein S36	Mrps36
ENSMUSG00000061477	3313.708	5474.688	5900.935	4707.104	4087.265	4813.533	ribosomal protein S7	Rps7
ENSMUSG00000061479	843	1108.9	1304.697	1009.785	1286.998	1324.536	small nuclear ribonucleoprotein polypeptide A	Snrpa
ENSMUSG00000061482	6.223	0	8.311	2.073	7.243	6.172	H4 clustered histone 4	H4c4
ENSMUSG00000061489	4.223	2.002	0	7.18	3.159	7.813	olfactory receptor 525	Olfr525
ENSMUSG00000061517	55	37	111	73	122	97	SRY (sex determining region Y)-box 21	Sox21
ENSMUSG00000061518	1400.94	2499.584	2774.261	2162.251	2319.327	2571.452	cytochrome c oxidase subunit 5B	Cox5b
ENSMUSG00000061520	0	0	0	0	0	0	olfactory receptor 153	Olfr153
ENSMUSG00000061524	6	3	8	5	11	6	zinc finger protein of the cerebellum 2	Zic2
ENSMUSG00000061525	0	0	0	0	0	0	RIKEN cDNA 4921509C19 gene	4921509C19Rik
ENSMUSG00000061527	1056.193	524.371	2.642	31.631	98.895	267.183	keratin 5	Krt5
ENSMUSG00000061531	3.004	2.002	1.001	1.001	1.001	0	transmembrane protein 236	Tmem236
ENSMUSG00000061533	130	115.935	170.004	185	260.02	203	centrosomal protein 128	Cep128
ENSMUSG00000061535	1	8.006	3	3.003	2	10.011	C1q and tumor necrosis factor related protein 7	C1qtnf7
ENSMUSG00000061536	206.196	89.176	164.245	137.273	265.325	290.593	SEC22 homolog C, vesicle trafficking protein	Sec22c
ENSMUSG00000061540	0	4.609	2.602	2.835	2.658	1.2	orosomucoid 2	Orm2
ENSMUSG00000061544	622.016	471.281	852.388	540.472	743.565	911.113	zinc finger protein 229	Zfp229
ENSMUSG00000061549	0	0	0	0	0	0	olfactory receptor 301	Olfr301
ENSMUSG00000061559	2229.999	2700.999	3428.999	2359	2292	3625	WD repeat domain 61	Wdr61
ENSMUSG00000061561	2.003	0.95	7.07	6.506	7.585	13.051	olfactory receptor 373	Olfr373
ENSMUSG00000061576	13	9.107	16.88	14.925	28	13.921	dipeptidylpeptidase 6	Dpp6
ENSMUSG00000061577	0	4	0	3	7	3	adhesion G protein-coupled receptor G5	Adgrg5
ENSMUSG00000061578	8.14	9.228	9	4.065	15.316	11.945	kinase suppressor of ras 2	Ksr2
ENSMUSG00000061584	1	0	2	0	0	0	lysozyme G-like 2	Lyg2
ENSMUSG00000061589	970	662	1078.999	1011	1801	1497	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	Dot1l
ENSMUSG00000061601	3.077	4.001	2.001	3	7	6.1	piccolo (presynaptic cytomatrix protein)	Pclo
ENSMUSG00000061602	1	0	0	2	0	0	vomeronasal 1 receptor 78	Vmn1r78
ENSMUSG00000061603	14.192	7.01	13.01	7.288	16.075	4.002	A kinase (PRKA) anchor protein 6	Akap6
ENSMUSG00000061607	549.482	406.072	679.383	607.745	949.207	875.643	mediator of DNA damage checkpoint 1	Mdc1
ENSMUSG00000061613	1187.994	1777.009	1941	1527.424	1867.49	1991.915	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1	U2af1
ENSMUSG00000061614	3.984	2	1	0	1.985	0	olfactory receptor 845	Olfr845
ENSMUSG00000061615	0	0	0	0	0	1.55	H2A clustered histone 4	H2ac4
ENSMUSG00000061616	4.186	1.339	0	1.22	1.124	4.126	olfactory receptor 12	Olfr12
ENSMUSG00000061626	0	0	0	0	0	0	olfactory receptor 68	Olfr68
ENSMUSG00000061633	1	2	0	3	4	2	NADH:ubiquinone oxidoreductase subunit B11B	Ndufb11b
ENSMUSG00000061637	0	0	0.998	0	0	0	olfactory receptor 1457	Olfr1457
ENSMUSG00000061650	417	546	738	537	755	732	mediator complex subunit 9	Med9
ENSMUSG00000061653	65.883	54.067	104.04	64.436	92.455	87.754	vomeronasal 1 receptor 46	Vmn1r46
ENSMUSG00000061665	2814.082	2055.747	3471.713	3171.302	5274.211	5698.963	CD2-associated protein	Cd2ap
ENSMUSG00000061666	44	30	40	49	61	70	glycerophosphodiester phosphodiesterase domain containing 1	Gdpd1
ENSMUSG00000061689	1560	1640.002	2260	1775	2673	2155	DLG associated protein 4	Dlgap4
ENSMUSG00000061701	0	3.178	0	6	0	2	F-box and WD-40 domain protein 20	Fbxw20
ENSMUSG00000061702	2	7	5	0	4	1	transmembrane protein 91	Tmem91
ENSMUSG00000061707	0	0	0	0	0	0	predicted gene 4871	Gm4871
ENSMUSG00000061718	0	0	0	0	0	3	protein phosphatase 1, regulatory inhibitor subunit 1B	Ppp1r1b
ENSMUSG00000061723	31.999	35	38	53	36	50	troponin T3, skeletal, fast	Tnnt3
ENSMUSG00000061731	1201.001	877	1410	1149	1601.96	1789.001	exostosin glycosyltransferase 1	Ext1
ENSMUSG00000061740	107.121	54.291	90.425	117.314	86.837	233.206	cytochrome P450, family 2, subfamily d, polypeptide 22	Cyp2d22
ENSMUSG00000061742	0	0	0	0	0	0	solute carrier family 22 (organic anion/cation transporter), member 12	Slc22a12
ENSMUSG00000061751	516.993	587.993	680.484	675.005	980.253	839.002	kalirin, RhoGEF kinase	Kalrn
ENSMUSG00000061755	1215	802	1439	773	1648	1628	biorientation of chromosomes in cell division 1-like	Bod1l
ENSMUSG00000061758	41.896	46.839	73.281	54.604	71.999	84.008	aldo-keto reductase family 1, member B10 (aldose reductase)	Akr1b10
ENSMUSG00000061759	300.234	299.078	410.681	352.042	522.126	379.362	acidic residue methyltransferase 1	Armt1
ENSMUSG00000061762	0	0	0	2	0	0	tachykinin 1	Tac1
ENSMUSG00000061769	0	0	0	0	0	0	killer cell lectin-like receptor, subfamily A, member 6	Klra6
ENSMUSG00000061778	437	346	586	461	607	674.001	motile sperm domain containing 2	Mospd2
ENSMUSG00000061780	0	0	0	1	0	4	complement factor D (adipsin)	Cfd
ENSMUSG00000061787	4343.464	7173.601	8362.028	6908.806	6919.742	7516.283	ribosomal protein S17	Rps17
ENSMUSG00000061798	0	1.408	1.193	0.901	1.106	6.315	olfactory receptor 1204	Olfr1204
ENSMUSG00000061802	1	0	0	0	1	0	outer dynein arm docking complex subunit 2	Odad2
ENSMUSG00000061808	12961	12559	8702	19984	905	50877	transthyretin	Ttr
ENSMUSG00000061809	0	0	0	0	0	0	TATA box binding protein like 2	Tbpl2
ENSMUSG00000061815	369	609	962	368	581	331	RUN and FYVE domain containing 4	Rufy4
ENSMUSG00000061816	6	2	1.334	4	11.671	4	myosin, light polypeptide 1	Myl1
ENSMUSG00000061825	9.537	7.976	3.514	15.177	7.001	14.522	carboxylesterase 2C	Ces2c
ENSMUSG00000061829	1.005	7.223	2.058	5.517	3.229	4.007	vomeronasal 1 receptor 214	Vmn1r214
ENSMUSG00000061838	1132	1100.586	1388.397	1302.002	1819	1561.001	succinate-Coenzyme A ligase, GDP-forming, beta subunit	Suclg2
ENSMUSG00000061845	0	0	0	0	0	0	defensin, alpha, 35	Defa35
ENSMUSG00000061847	0	0	0	0	0	0	defensin beta 39	Defb39
ENSMUSG00000061859	1561.227	1209.778	1286.238	1389.345	1724.746	2822.666	PATJ, crumbs cell polarity complex component	Patj
ENSMUSG00000061875	0	0	0	0	0	0	olfactory receptor 1148	Olfr1148
ENSMUSG00000061877	2	1	6	0	4	0	cDNA sequence BC048679	BC048679
ENSMUSG00000061878	428.157	517.459	1240.193	899.401	1328.948	1017.981	sphingosine kinase 1	Sphk1
ENSMUSG00000061882	50.464	25.399	53.032	43.154	46.457	53.168	coiled-coil domain containing 62	Ccdc62
ENSMUSG00000061887	827	825	1080	1005.001	1016.999	1384	single-stranded DNA binding protein 3	Ssbp3
ENSMUSG00000061894	98.026	66.005	92.02	62.007	105.003	96.019	zinc finger and SCAN domains 20	Zscan20
ENSMUSG00000061898	131.128	107.697	136.813	124.039	153.112	190.295	RB-associated KRAB zinc finger	Rbak
ENSMUSG00000061904	5793.999	7775.524	8566.056	8400.046	9033.132	10393.338	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3	Slc25a3
ENSMUSG00000061906	0	0	0	0	0	0	UDP glucuronosyltransferase 2 family, polypeptide B38	Ugt2b38
ENSMUSG00000061911	1	1	6	3	4	0	myelin transcription factor 1-like	Myt1l
ENSMUSG00000061923	1	0	0	2	1	1	outer dense fiber of sperm tails 1	Odf1
ENSMUSG00000061928	1.004	1.007	0	1.014	0	1.858	desmoglein 1 beta	Dsg1b
ENSMUSG00000061937	1	0	1	0	0	0	casein alpha s2-like A	Csn1s2a
ENSMUSG00000061947	290.117	248.249	217.215	496.707	68.898	1320.416	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	Serpina10
